image,class,split
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/0000.jpg,0,train
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/0001.jpg,0,train
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/0002.jpg,0,train
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/0003.jpg,0,train
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/0004.jpg,0,train
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/0005.jpg,0,train
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/0006.jpg,0,train
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/0007.jpg,0,train
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/0008.jpg,0,train
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/0009.jpg,0,train
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/0010.jpg,0,train
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/0011.jpg,0,train
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/0012.jpg,0,train
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/0013.jpg,0,train
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/0014.jpg,0,train
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/0015.jpg,0,train
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/0016.jpg,0,train
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/0017.jpg,0,train
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/0018.jpg,0,train
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/0019.jpg,0,train
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/0020.jpg,0,train
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/0021.jpg,0,train
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/0022.jpg,0,train
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/0023.jpg,0,train
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/0024.jpg,0,train
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/0025.jpg,0,train
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/0026.jpg,0,train
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/0027.jpg,0,train
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/0028.jpg,0,train
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/0029.jpg,0,train
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/0030.jpg,0,train
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/0031.jpg,0,train
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/0032.jpg,0,train
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/0033.jpg,0,train
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/0034.jpg,0,train
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/0035.jpg,0,train
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/0036.jpg,0,train
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/0037.jpg,0,train
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/0038.jpg,0,train
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/0039.jpg,0,train
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/0040.jpg,0,train
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/0041.jpg,0,train
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/0042.jpg,0,train
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/0043.jpg,0,train
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/0044.jpg,0,train
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/0045.jpg,0,train
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/0046.jpg,0,train
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/0047.jpg,0,train
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/0048.jpg,0,train
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/0049.jpg,0,train
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/0050.jpg,0,train
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/0051.jpg,0,train
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/0052.jpg,0,train
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/0053.jpg,0,train
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/0054.jpg,0,train
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/0055.jpg,0,train
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/0056.jpg,0,train
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/0057.jpg,0,train
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/0058.jpg,0,train
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/0059.jpg,0,train
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/0060.jpg,0,train
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/0061.jpg,0,train
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/0062.jpg,0,train
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/0063.jpg,0,train
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/0064.jpg,0,train
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/0065.jpg,0,train
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/0066.jpg,0,train
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/0067.jpg,0,train
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/0068.jpg,0,train
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/0069.jpg,0,train
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/0070.jpg,0,train
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/0071.jpg,0,train
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/0072.jpg,0,train
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/0073.jpg,0,train
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/0074.jpg,0,train
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/0075.jpg,0,train
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/0076.jpg,0,train
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/0077.jpg,0,train
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/0078.jpg,0,train
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/0079.jpg,0,train
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/0080.jpg,0,train
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/0081.jpg,0,train
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/0082.jpg,0,train
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/0083.jpg,0,train
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/0084.jpg,0,train
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/0085.jpg,0,train
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/0086.jpg,0,train
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/0087.jpg,0,train
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/0088.jpg,0,train
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/0089.jpg,0,train
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/0090.jpg,0,train
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/0091.jpg,0,train
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/0092.jpg,0,train
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/0093.jpg,0,train
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/0094.jpg,0,train
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/0095.jpg,0,train
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/0096.jpg,0,train
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/0097.jpg,0,train
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/0098.jpg,0,train
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/0099.jpg,0,train
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/0100.jpg,0,train
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/0101.jpg,0,train
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/0102.jpg,0,train
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/0103.jpg,0,train
